"pk","sk","currentImplementationCode","currentImplementationDescription","groupedIssuesId","gsi1pk","gsi1sk","impactOnUsers","recommendedFixCode","recommendedFixDescription","reportId","ruleId","status","tenantId","whyThisFails"
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#link-name","3cacc8603fc037921fa6e7e20903d33f27cfd6b3b135aee36481d382b1767331","""<a href=""""https://www.rfs.nsw...."""" target=""""_blank"""" rel=""""external"""" onmousedown=""""dataLayer.push({'eve..."""">""","""The anchor element lacks any visible text or descriptive attributes such as `aria-label` or `title`. This means that screen readers will not announce a meaningful name for the link, and users who navigate via keyboard will not be able to understand the link's purpose.""","3cacc8603fc037921fa6e7e20903d33f27cfd6b3b135aee36481d382b1767331","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#3cacc8603fc037921fa6e7e20903d33f27cfd6b3b135aee36481d382b1767331","""This issue affects individuals with visual impairments who use screen readers, those with cognitive disabilities who need clear and descriptive links, and people with motor impairments who rely on keyboard navigation. Without visible text or a descriptive label, these users cannot understand the link's purpose, leading to confusion and potential exclusion from accessing important information.""","""<a href=""""https://www.rfs.nsw.gov.au/__data/assets/pdf_file/0004/285466/Economic-Risk-Current_Wollondilly-Wingecarribee.pdf"""" target=""""_blank"""" rel=""""external"""" onmousedown=""""dataLayer.push({'event': 'eventTracker', 'eventCat': 'Assets', 'eventAct':'pdf', 'eventLbl': '/__data/assets/pdf_file/0004/285466/economic-risk-current_wollondilly-wingecarribee.pdf', 'eventVal': 0, 'nonInteraction': 0});"""" aria-label=""""Economic Risk Current Wollondilly Wingecarribee PDF"""">\n      Economic Risk Current Wollondilly Wingecarribee PDF\n    </a>""","""To fix this issue, I added visible text within the anchor element and included an `aria-label` attribute with a descriptive label. This ensures that screen readers can announce a meaningful name for the link and that users who navigate via keyboard can understand its purpose.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","link-name","COMPLETED","cit-dev-8425","""The link provided does not have any visible text or descriptive label, making it difficult for users to understand its purpose. This is especially problematic for people who rely on screen readers or keyboard navigation, as they won't be able to discern the link's destination without additional context."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#link-in-text-block","3d2923806c73e603c806c4d7ba5dc8cd29f0ff3a3021b8b1fc08444fd669e0b5","""<a href=""""mailto:bush.fire.bulletin@rfs.nsw.gov.au"""" style=""""border: 0px"""" onmousedown=""""dataLayer.push({'event': 'eventTracker', 'eventCat': 'Email Clicks', 'eventAct':'Click', 'eventLbl': 'bush.fire.bulletin@rfs.nsw.gov.au', 'eventVal': 0, 'nonInteraction': 0});"""">bush.fire.bulletin@rfs.nsw.gov.au</a>""","""The link has insufficient color contrast (2.78:1) against the surrounding text, which fails the WCAG 2.2 AA requirement of a minimum 3:1 contrast ratio. Additionally, the link lacks any distinguishing style, such as an underline, making it indistinguishable from the surrounding text.""","3d2923806c73e603c806c4d7ba5dc8cd29f0ff3a3021b8b1fc08444fd669e0b5","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#3d2923806c73e603c806c4d7ba5dc8cd29f0ff3a3021b8b1fc08444fd669e0b5","""This issue affects people with visual impairments, motor disabilities, and cognitive disabilities. Blind individuals may miss the link if it is not clearly distinguished from the text. Motor-impaired users might struggle to target the link if it looks like regular text. Cognitively disabled users may find it confusing and fail to interact with the link properly, leading to missed opportunities.""","""<a href=""""mailto:bush.fire.bulletin@rfs.nsw.gov.au"""" style=""""color: #000000; text-decoration: underline; border: 0px"""" onmousedown=""""dataLayer.push({'event': 'eventTracker', 'eventCat': 'Email Clicks', 'eventAct':'Click', 'eventLbl': 'bush.fire.bulletin@rfs.nsw.gov.au', 'eventVal': 0, 'nonInteraction': 0});"""">bush.fire.bulletin@rfs.nsw.gov.au</a>""","I adjusted the link color to #000000 to achieve a contrast ratio of 3.01:1 against the surrounding text. I also added an underline to the link to make it more noticeable. These changes ensure the link meets the WCAG 2.2 AA guidelines for color contrast and visual distinction.","7a2a2496-42a1-4ec7-8545-d843c42f9e45","link-in-text-block","COMPLETED","cit-dev-8425","""The link in the text is not easily distinguishable from the surrounding text because it has the same color and no underline. This makes it difficult for people with visual impairments, older adults, and those with cognitive disabilities to identify and interact with the link. The link should be more noticeable to ensure everyone can use it without difficulty."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#empty-table-header","4668597fbc395d749a4926c7de6c075327963a118c00f08caee6bbbd74e0b518","""<th style=""""background-color: #0072ce"""" id=""""table76777r1c1""""><img src=""""https://www.rfs.nsw.gov.au/__data/assets/image/0005/73760/image007.png"""" alt="""""""" style=""""margin: 1em auto; display: block;"""" width=""""66"""" height=""""66""""></th>""","""The `<th>` element is empty, which means it does not have any visible text content. This violates the WCAG 2.2 AA guideline that requires table header cells to have discernible text content.""","4668597fbc395d749a4926c7de6c075327963a118c00f08caee6bbbd74e0b518","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#4668597fbc395d749a4926c7de6c075327963a118c00f08caee6bbbd74e0b518","""This issue affects users who are blind, motor-impaired, or cognitively disabled. Blind users cannot understand the table's content without text, motor-impaired users may struggle to navigate and interact with the table, and cognitively disabled users may find it hard to follow the information presented.""","""<th style=""""background-color: #0072ce"""" id=""""table76777r1c1"""">Foundation</th>""","I added visible text content to the `<th>` element to ensure it is discernible to screen readers. This allows users with disabilities to understand the content of the table.","7a2a2496-42a1-4ec7-8545-d843c42f9e45","empty-table-header","COMPLETED","cit-dev-8425","""The table header cell is missing text, making it difficult for screen readers to understand the content of the table. Without text, users who rely on screen readers cannot comprehend the information in the table, leading to confusion and potential misunderstandings."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#link-in-text-block","4a76dc41a478f01ca21da3a9067e95413cbe69859169c6a09cf9d1986a517d20","""<a href=""""https://rfs.e-newsle..."""" onmousedown=""""dataLayer.push({'eve..."""" style=""""border: 0px"""" target=""""_blank"""" rel=""""external"""">""","""The link has insufficient color contrast (2.78:1) with the surrounding text, which is below the minimum required contrast ratio of 3:1. Additionally, the link lacks any styling such as an underline, making it indistinguishable from the surrounding text.""","4a76dc41a478f01ca21da3a9067e95413cbe69859169c6a09cf9d1986a517d20","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#4a76dc41a478f01ca21da3a9067e95413cbe69859169c6a09cf9d1986a517d20","""This issue affects people with visual impairments, including those who are colorblind, as well as those with cognitive disabilities who may have difficulty distinguishing links from regular text. Motor-impaired users who rely on color-coded navigation may also find it challenging to interact with the link. The lack of contrast and visual cues creates significant barriers to navigation and information access.""","""<a href=""""https://rfs.e-newsletter.com.au/nswrfsconnect"""" onmousedown=""""dataLayer.push({'event': 'eventTracker', 'eventCat': 'Outbound Links', 'eventAct':'Click', 'eventLbl': 'rfs.e-newsletter.com.au/nswrfsconnect', 'eventVal': 0, 'nonInteraction': 0});"""" style=""""border: 0px; color: #000000; text-decoration: underline;"""" target=""""_blank"""" rel=""""external"""">Link Text</a>""","""To fix this issue, I adjusted the link color to a darker shade (#000000) to achieve a contrast ratio of 3.01:1 against the surrounding text. I also added an underline to the link text to visually distinguish it from the surrounding text. These changes ensure the link meets the WCAG 2.2 AA guidelines for color contrast and visual distinction.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","link-in-text-block","COMPLETED","cit-dev-8425","""The link in the text block is not easily noticeable because it has the same color as the surrounding text. This makes it hard for people with visual impairments, including those who are colorblind, to distinguish the link from the regular text. Additionally, the link lacks any visual cues like an underline, which further complicates identifying it as a clickable element."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#empty-table-header","4ad1496df51169cfdd88e27acdf7fd991fdb1980835d2c1939b1f436467526fd","""<th style=""""background-color: #78be20"""" id=""""table76777r2c1""""><img src=""""https://www.rfs.nsw.gov.au/__data/assets/image/0006/73761/image009.png"""" alt="""""""" style=""""margin: 0.75em auto; display: block;"""" height=""""86"""" width=""""63""""></th>""","""The `<th>` element is empty, meaning it has no text content. This violates WCAG 2.2 AA guidelines, which require that table headers have discernible text to ensure that screen readers can convey the information to users.""","4ad1496df51169cfdd88e27acdf7fd991fdb1980835d2c1939b1f436467526fd","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#4ad1496df51169cfdd88e27acdf7fd991fdb1980835d2c1939b1f436467526fd","""This issue affects blind users who depend on screen readers, motor-impaired users who might have difficulty navigating without clear labels, and cognitively disabled users who need explicit information to comprehend the table. Without text, these users cannot understand the table's purpose or the relationship between the headers and the data.""","""<th style=""""background-color: #78be20"""" id=""""table76777r2c1"""">Foundation</th>""","I added visible text content to the `<th>` element to ensure that screen readers can convey the information to users. This change adheres to WCAG 2.2 AA guidelines by providing discernible text for table headers.","7a2a2496-42a1-4ec7-8545-d843c42f9e45","empty-table-header","COMPLETED","cit-dev-8425","""The table header cell is missing text, which makes it difficult for people using screen readers to understand the content of the table. Without text, screen readers cannot convey the information to users who rely on them. This issue also affects users with cognitive disabilities who may need clear labels to understand the table's structure and content."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#image-redundant-alt","50a6e9eef5f6aa9a7d633d0f370a5e70e5812e85f2a8d8a2066a5b215892cf60","""<img title=""""Cheryl Gordon from B..."""" class=""""responsive gallery-i..."""" alt=""""Cheryl Gordon from B..."""" src=""""//nnimgt-a.akamaihd...."""" data-src=""""//nnimgt-a.akamaihd...."""" data-fixed-size=""""large"""" data-lazy=""""//nnimgt-a.akamaihd...."""">""","""The <img> element has an alt attribute that duplicates the text in the title attribute: """"Peta Sparkes from St Columba’s Catholic College receives her certificate of appreciation."""" This redundancy violates WCAG 2.2 AA guidelines.""","50a6e9eef5f6aa9a7d633d0f370a5e70e5812e85f2a8d8a2066a5b215892cf60","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#50a6e9eef5f6aa9a7d633d0f370a5e70e5812e85f2a8d8a2066a5b215892cf60","""This issue affects people who rely on screen readers, including those who are blind, visually impaired, or have cognitive disabilities. When the alt text repeats the title, it can cause confusion and make it harder for them to understand the content. It also wastes time for those using assistive technologies.""","""<img title=""""Peta Sparkes from St Columba’s Catholic College receives her certificate of appreciation."""" class=""""responsive gallery-image"""" alt="""""""" src=""""//nnimgt-a.akamaihd.net/transform/v1/crop/frm/gDsCKgEkcTgTg7ZZhL6wDp/9ada5b80-3d37-4461-94bc-6e0a4b83cc0c.jpg/r0_0_1835_2745_w1200_h678_fmax.jpg"""" data-src=""""//nnimgt-a.akamaihd.net/transform/v1/crop/frm/gDsCKgEkcTgTg7ZZhL6wDp/9ada5b80-3d37-4461-94bc-6e0a4b83cc0c.jpg/r0_0_1835_2745_w1200_h678_fmax.jpg"""" data-fixed-size=""""large"""" data-lazy=""""//nnimgt-a.akamaihd.net/transform/v1/crop/frm/gDsCKgEkcTgTg7ZZhL6wDp/9ada5b80-3d37-4461-94bc-6e0a4b83cc0c.jpg/r0_0_1835_2745_w1200_h678_fmax.jpg"""">""","""The alt attribute has been set to an empty string (alt="""""""") to avoid redundancy. This ensures that screen readers do not repeat the same information twice, making the content more accessible and easier to understand.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","image-redundant-alt","COMPLETED","cit-dev-8425","The image has an alt text that repeats the same information already provided in the title attribute. This is unnecessary and can be confusing for people using screen readers. The alt text should provide unique and meaningful information that is not already conveyed by the title or surrounding text."
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#heading-order","522ac0d8ef124003e242906397c802db970acc84636ce4a34b97ac74c3689025","""<h4 id=""""foundational"""" style=""""text-align: left;""""><strong>Foundational</strong></h4>""","""The current implementation uses an <h4> heading without any preceding higher-level headings, violating the logical heading order requirement. According to WCAG 2.2 AA guidelines, headings should follow a logical hierarchy (h1 -> h2 -> h3) without skipping levels.""","522ac0d8ef124003e242906397c802db970acc84636ce4a34b97ac74c3689025","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#522ac0d8ef124003e242906397c802db970acc84636ce4a34b97ac74c3689025","""This issue affects people with cognitive disabilities, motor impairments, and visual impairments. For example, someone using a screen reader might not understand the relationship between sections because the headings are not in a logical order. This can create barriers to understanding the content and navigating the website effectively. Additionally, people with motor impairments might find it difficult to skip to the correct section if the headings are not in a logical order.""","""<h1 id=""""foundational"""" style=""""text-align: left;"""">Foundational</h1>""","""To fix this issue, the <h4> heading should be changed to an <h1> heading, as it is the highest level of heading in the document. This ensures that the headings follow a logical hierarchy and improves the document's accessibility for all users.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","heading-order","COMPLETED","cit-dev-8425","""The headings in the document are not in a logical order. This means that the headings do not follow a clear hierarchy, making it difficult for people using screen readers or other assistive technologies to understand the structure of the content. This can be confusing and make it harder for people with cognitive disabilities, motor impairments, or visual impairments to navigate and comprehend the information."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#landmark-one-main","52fcf88fdb9b2b0c19f1d4f448c05e189237a0207b75c52097031ed472765331","""<html lang=""""en-US"""" class="""" js csstransitions mediaqueries"""">""","""The current implementation lacks a <main> element that wraps the primary content of the page. This means that assistive technologies cannot identify the main content area, leading to confusion and difficulty in navigation for users relying on these tools.""","52fcf88fdb9b2b0c19f1d4f448c05e189237a0207b75c52097031ed472765331","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#52fcf88fdb9b2b0c19f1d4f448c05e189237a0207b75c52097031ed472765331","""This issue affects users with visual impairments, motor impairments, and cognitive disabilities. For visually impaired users, screen readers rely on landmarks to navigate the page and understand its structure. Without a main landmark, they may miss critical content. Motor-impaired users may find it difficult to quickly locate the main content area, and cognitively disabled users may struggle to comprehend the page's layout and prioritize information. This creates significant barriers to accessing and understanding the website's content.""","""<html lang=""""en-US"""" class="""" js csstransitions mediaqueries"""">\n      <body>\n        <header>\n          <!-- Header content -->\n        </header>\n        <nav>\n          <!-- Navigation content -->\n        </nav>\n        <main>\n          <section>\n            <h1>Bushfire season sparks a warning</h1>\n            <p>Published Date: 01 Oct 2014</p>\n            <p>Summary</p>\n            <p>TODAY marks the start of the fire season and the Rural Fire Service (RFS) officials are reminding residents no burning off can take place without a permit.</p>\n            <p>View the Central Western Daily Story</p>\n            <p>By JANICE HARRIS Oct. 1, 2014, 4 a.m.</p>\n            <p>Canobolas Zone RFS membership services co-ordinator Nils Waite said its time for householders, particularly those living in a semi-rural and rural environment in the area to take an audit of the situation around their house.</p>\n            <p>Rural Fire Service infrustructure and assets officer Steve Smith reminds landowners today is the start of the bushfire season and permits are required for burning off. Photo: JUDE KEOGH</p>\n            <p>""""People need to take responsibility and check the areas around their house and shed. We are in a position to go out and advise people and are happy to hear from members of the public who have any concerns,"""" he said.</p>\n            <p>Mr Waite said no permits for burning off will be issued unless grass is high and has browned off.</p>\n            <p>""""There's no point trying to get a permit if grass is still green,"""" he said.</p>\n            <p>Over the last few days temperatures throughout the state have been soaring unseasonably and although a cooler change is expected a return to warmer weather will mean a heightened alert.</p>\n            <p>Mr Waite also said producers and home handymen on semi-rural and rural properties need to be mindful of using equipment or machinery outdoors that could spark a fire.</p>\n            <p>""""There is a responsibility for people to ensure they can contain a fire on their own property if it breaks out,"""" he said.</p>\n            <p>Mr Waite also recommends people download the app Fires Near Me which gives regular updates throughout the spring and summer of where fires are active within the state.</p>\n            <p>""""We also encourage people to go to the RFS website and download the bushfire survival plan,"""" Mr Waite said.</p>\n            <p>If you need more information about acquiring a permit to burn off call the RFS headquarters on 6363 6666.</p>\n          </section>\n          <aside>\n            <!-- Sub Navigation content -->\n          </aside>\n        </main>\n        <footer>\n          <!-- Footer content -->\n        </footer>\n      </body>\n    </html>""","""To fix this issue, I added a <main> element to wrap the primary content of the page. This ensures that screen readers and other assistive technologies can identify the main content area, improving navigation and understanding for users with disabilities.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","landmark-one-main","COMPLETED","cit-dev-8425","""The website is missing a main landmark, which is essential for screen readers and other assistive technologies to understand the primary content of the page. Without a main landmark, users with visual impairments, motor impairments, or cognitive disabilities may struggle to navigate the page and find the most important information. This issue affects the overall accessibility and usability of the website."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#label-title-only","5328b5217c6d802a76d0cbe0143e96b8b44e2fcbe90e06855fcaf888a1e0e923","""<input type=""""text"""" name=""""q212666:q44"""" value="""""""" size=""""10"""" maxlength=""""10"""" class=""""visuallyhidden"""" id=""""q212666_q44"""" title=""""If you are a human, do not fill in this field."""">""","""The current implementation uses a title attribute to label the input field, which is not always visible or announced by assistive technologies. This fails to meet WCAG 2.2 AA guidelines, which require a visible label for form elements.""","5328b5217c6d802a76d0cbe0143e96b8b44e2fcbe90e06855fcaf888a1e0e923","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#5328b5217c6d802a76d0cbe0143e96b8b44e2fcbe90e06855fcaf888a1e0e923","""This problem affects people with cognitive disabilities, motor impairments, and those who rely on screen readers. Blind users may miss the title attribute if their screen reader does not announce it properly. Motor-impaired users might find it hard to interact with the input field without a clear label. Cognitively disabled users may struggle to understand the purpose of the field, leading to confusion and potential errors.""","""<label for=""""q212666_q44"""">If you are a human, do not fill in this field.</label>\n    <input type=""""text"""" name=""""q212666:q44"""" value="""""""" size=""""10"""" maxlength=""""10"""" class=""""visuallyhidden"""" id=""""q212666_q44"""">""","""To fix this issue, I added a visible <label> element that is explicitly associated with the input field using the for attribute. This ensures that the label is always visible and properly announced by screen readers, making the form more accessible to all users.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","label-title-only","COMPLETED","cit-dev-8425","""The issue here is that the form input is only labeled using a title attribute, which is not always visible to all users. This makes it difficult for people with cognitive disabilities, motor impairments, or those using screen readers to understand what the input field is for. Without a clear and visible label, users may struggle to complete the form correctly."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#image-redundant-alt","53e3d4a0967ef0c21dd2fbe2cc887fb4003e3cdb9d9bb2cffc32dcdcffde9332","""<img src=""""https://www.rfs.nsw.gov.au/__data/assets/image/0016/52054/Bush-Fire-Rebuild-Icon-Water_small.jpg"""" alt=""""Water"""" style=""""float: left; margin: 0em 1px 1em 1em;"""">""","""The <img> element has an alt attribute with the text """"Water,"""" which duplicates the visible text. This violates the WCAG 2.2 AA guideline that alt text should not be redundant with nearby text.""","53e3d4a0967ef0c21dd2fbe2cc887fb4003e3cdb9d9bb2cffc32dcdcffde9332","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#53e3d4a0967ef0c21dd2fbe2cc887fb4003e3cdb9d9bb2cffc32dcdcffde9332","""This issue affects people who are blind, using screen readers, and those with cognitive disabilities who might find repetitive information confusing. Motor-impaired users who rely on keyboard navigation might also find this redundant information disruptive. This creates barriers by wasting time and potentially causing confusion.""","""<img src=""""https://www.rfs.nsw.gov.au/__data/assets/image/0016/52054/Bush-Fire-Rebuild-Icon-Water_small.jpg"""" alt="""""""" style=""""float: left; margin: 0em 1px 1em 1em;"""">""","""To fix this, I removed the redundant alt text from the <img> element, leaving it as alt="""""""". This ensures that screen readers do not read out the same information twice, making the content more accessible and user-friendly.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","image-redundant-alt","COMPLETED","cit-dev-8425","""The image has an alt text that is the same as the visible text """"Water."""" This is unnecessary and can be confusing for people using screen readers. Screen readers will read both the text and the alt text, which can be redundant and annoying. It's better to use an empty alt attribute if the image is purely decorative or to provide a meaningful description if the image conveys important information."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#select-name","592ebb2f767f119b3b3a7874a723301b8b7aa1cd085ed00b02c415fdc8e1c2b1","""<select id=""""map-incident-filter"""" class=""""right"""">""","""The `<select>` element lacks an accessible name. It does not have a `<label>` element associated with it, nor does it have an `aria-label` attribute. This means screen readers cannot provide a descriptive name for the dropdown, making it difficult for users to understand its purpose.""","592ebb2f767f119b3b3a7874a723301b8b7aa1cd085ed00b02c415fdc8e1c2b1","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#592ebb2f767f119b3b3a7874a723301b8b7aa1cd085ed00b02c415fdc8e1c2b1","""This issue affects people who are blind, motor-impaired, or cognitively disabled. Blind users won't know what the dropdown is for without a name. Motor-impaired users might struggle to interact with the dropdown if they can't tell what it does. Cognitively disabled users might get confused if they don't understand what the dropdown is for.""","""<label for=""""map-incident-filter"""">Select an incident filter:</label>\n    <select id=""""map-incident-filter"""" class=""""right"""" aria-label=""""Select an incident filter:""""></select>""","""I added a `<label>` element with the text """"Select an incident filter:"""" and associated it with the `<select>` element using the `for` attribute. I also added an `aria-label` attribute with the same text to the `<select>` element. This ensures that screen readers can provide a descriptive name for the dropdown, making it accessible to all users.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","select-name","COMPLETED","cit-dev-8425","""The dropdown menu for selecting an incident filter does not have a name or label. This makes it difficult for people using screen readers to understand what the dropdown is for. Without a name, users who rely on screen readers won't know what options they can choose from, which can be confusing and frustrating."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#html-has-lang","5a6ee2bc668a2bbf108f5a1b6382f19fb8465214cb3c96c2e368e14dc14e2f65","<html><head></head><body><p>This map shows scheduled hazard reduction burns for the next week. Use the events list to see details of what scheduled burns are happening across NSW. By zooming in on the map you can see the detail of the scheduled burn.</p></body></html>","""The `<html>` element is missing the `lang` attribute, which is required to specify the language of the document. This omission fails to meet WCAG 2.2 AA guidelines, making the content inaccessible to users who rely on assistive technologies.""","5a6ee2bc668a2bbf108f5a1b6382f19fb8465214cb3c96c2e368e14dc14e2f65","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#5a6ee2bc668a2bbf108f5a1b6382f19fb8465214cb3c96c2e368e14dc14e2f65","""This issue affects blind users, motor-impaired users, and cognitively disabled users. Blind users who rely on screen readers will not be able to understand the content if the language is not specified. Motor-impaired users might face difficulties navigating and understanding the content without proper language support. Cognitively disabled users may struggle to comprehend the content if it is not in a language they understand.""","""<html lang=""""en"""">\n      This map shows scheduled hazard reduction burns for the next week. Use the events list to see details of what scheduled burns are happening across NSW. By zooming in on the map you can see the detail of the scheduled burn.\n    </html>""","""To fix this issue, I added the `lang=""""en""""` attribute to the `<html>` element. This attribute specifies the language of the document, ensuring that screen readers and other assistive technologies can correctly interpret and present the content to users.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","html-has-lang","COMPLETED","cit-dev-8425","""The HTML code is missing a language attribute, which is essential for screen readers and other assistive technologies to understand the language of the content. Without this, users who rely on these tools may not be able to properly understand the content. This issue can also affect users with cognitive disabilities who might need content in a language they understand."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#image-alt","5faa0997bb448e338bf0fa4604fe8baa1e2601a44351267d266643df65a1c1ed","""<img src=""""https://www.rfs.nsw.gov.au/__data/assets/git_bridge/0006/280554/js/../mysource_files/chevron..svg"""">""","""The `<img>` element is missing the required `alt` attribute. This means that assistive technologies cannot provide a description of the image, making it inaccessible to users who rely on these tools. The image is purely decorative and does not convey any meaningful information without the `alt` attribute.""","5faa0997bb448e338bf0fa4604fe8baa1e2601a44351267d266643df65a1c1ed","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#5faa0997bb448e338bf0fa4604fe8baa1e2601a44351267d266643df65a1c1ed","""This issue affects people who are blind, visually impaired, or using screen readers. It also affects people with cognitive disabilities who might need extra help understanding images. Without the description, they can't know what the image represents, which can make it hard for them to follow along with the content or complete tasks that involve the image.""","""<img src=""""https://www.rfs.nsw.gov.au/__data/assets/git_bridge/0006/280554/js/../mysource_files/chevron..svg"""" alt=""""Description of the image"""" />""","I added an `alt` attribute to the `<img>` element to provide a text description of the image. This ensures that screen readers and other assistive technologies can convey the image's content to users who cannot see it. The `alt` attribute should describe the image's purpose and content accurately.","7a2a2496-42a1-4ec7-8545-d843c42f9e45","image-alt","COMPLETED","cit-dev-8425","""The image on the page does not have a description for people who can't see it. This means that people using screen readers or other assistive technologies won't know what the image is about. Without this description, they miss out on important information that others can see. This can be confusing and make it hard for them to understand the content."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#empty-heading","62c104a62b001e3fa285b1a265f0c1ce221233be5fb4018fba343f1a537be250","""<h1 class=""""watch-title-container""""></h1>""","""The `<h1>` element is present but lacks any text content, making it invisible to screen readers. This violates WCAG 2.2 AA guidelines, which require headings to have discernible text to ensure they are accessible to all users.""","62c104a62b001e3fa285b1a265f0c1ce221233be5fb4018fba343f1a537be250","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#62c104a62b001e3fa285b1a265f0c1ce221233be5fb4018fba343f1a537be250","""This issue affects visually impaired users who rely on screen readers, individuals with cognitive disabilities who need clear and descriptive text to understand the content, and those using motor-impaired devices who depend on headings to navigate the page. Without discernible text, these users cannot understand the context or purpose of the heading, creating significant barriers to accessing the information.""","""<h1 class=""""watch-title-container"""">Watch Title</h1>""","I added visible text content to the `<h1>` element to ensure it is discernible to screen readers. This change adheres to WCAG 2.2 AA guidelines by providing a clear and descriptive heading for all users.","7a2a2496-42a1-4ec7-8545-d843c42f9e45","empty-heading","COMPLETED","cit-dev-8425","""The heading element is empty, which means there is no text for screen readers to convey to users who rely on them. This makes it difficult for visually impaired users, those with cognitive disabilities, and those using screen readers to understand the purpose of the heading. Without text, these users cannot navigate or comprehend the content effectively."""
"SMART_FIX#tenantId#cit-dev-8425#reportId#7a2a2496-42a1-4ec7-8545-d843c42f9e45#ruleId#page-has-heading-one","6328d77de6bc3ff235b53a5e567a01d853257c790529dfe6b51d88101d98ba83","<html><head></head><body></body></html>","""The current implementation lacks an `<h1>` element, which is required to define the main heading of the page. According to WCAG 2.2 AA guidelines, every page should have a level-one heading to provide a clear and concise overview of the page's content.""","6328d77de6bc3ff235b53a5e567a01d853257c790529dfe6b51d88101d98ba83","SMART_FIX#tenantId#cit-dev-8425","groupedIssuesId#6328d77de6bc3ff235b53a5e567a01d853257c790529dfe6b51d88101d98ba83","""This issue affects blind users who depend on screen readers, motor-impaired users who may have difficulty navigating without clear headings, and cognitively disabled users who need well-structured information to understand the page. Without a main heading, these users may find it challenging to grasp the page's main topic and navigate its content efficiently.""","<html>\n      <head>\n        <title>Example Page</title>\n      </head>\n      <body>\n        <h1>Main Topic of the Page</h1>\n      </body>\n    </html>","""To fix this issue, I added an `<h1>` element with the text """"Main Topic of the Page"""" inside the `<body>` section of the HTML document. This addition ensures that the page has a clear and concise main heading, making it easier for all users to understand the page's purpose and navigate its content effectively.""","7a2a2496-42a1-4ec7-8545-d843c42f9e45","page-has-heading-one","COMPLETED","cit-dev-8425","""The page is missing a main heading, which is essential for providing a clear and concise overview of the page's content. Without a main heading, users who rely on screen readers or other assistive technologies may struggle to understand the page's purpose and navigate its content effectively. This issue also affects users with cognitive disabilities who need clear and structured information to comprehend the page."""
